condition_type,day_type,condition_value,end_station_name,return_count,end_lat,end_lng,total_returns_in_group,return_share
cold,weekday,cold,California Ave & Winona St,28,41.97471199999999,-87.697852,285975,9.79106565259201e-05
cold,weekday,cold,Calumet Ave & 18th St,353,41.85761755293753,-87.61941075325012,285975,0.0012343736340589212
cold,weekday,cold,Calumet Ave & 21st St,211,41.85418424947,-87.6191537415,285975,0.0007378267331060407
cold,weekday,cold,Calumet Ave & 33rd St,563,41.83480568947368,-87.61795095789473,285975,0.001968703558003322
cold,weekday,cold,Calumet Ave & 35th St,127,41.831379,-87.618034,285975,0.00044409476352828044
cold,weekday,cold,Calumet Ave & 51st St,57,41.80229465088,-87.6180535802,285975,0.0001993181222134802
cold,weekday,cold,Calumet Ave & 71st St,4,41.76550800581,-87.616917925,285975,1.3987236646560014e-05
cold,weekday,cold,Campbell Ave & 51st St,10,41.80094,-87.68676,285975,3.4968091616400035e-05
cold,weekday,cold,Campbell Ave & Augusta Blvd,199,41.899578,-87.689497,285975,0.0006958650231663607
cold,weekday,cold,Campbell Ave & Fullerton Ave,107,41.92463247165,-87.6893070063,285975,0.0003741585802954804
cold,weekday,cold,Campbell Ave & Irving Park Rd,26,41.953634,-87.690782,285975,9.091703820264009e-05
cold,weekday,cold,Campbell Ave & Montrose Ave,234,41.96152399999999,-87.69117699999998,285975,0.0008182533438237608
cold,weekday,cold,Campbell Ave & North Ave,416,41.910535,-87.689556,285975,0.0014546726112422415
cold,weekday,cold,Canal St & Adams St,2695,41.879255,-87.639904,285975,0.00942390069061981
cold,weekday,cold,Canal St & Harrison St,327,41.874255,-87.639573,285975,0.0011434565958562811
cold,weekday,cold,Canal St & Jackson Blvd,1639,41.87812864569744,-87.63996997065593,285975,0.005731270215927966
cold,weekday,cold,Canal St & Lake St,1,41.88597,-87.63999,285975,3.4968091616400035e-06
cold,weekday,cold,Canal St & Madison St,3877,41.882409,-87.639767,285975,0.013557129119678294
cold,weekday,cold,Canal St & Monroe St,932,41.8829056,-87.6397409,285975,0.0032590261386484833
cold,weekday,cold,Canal St & Taylor St,506,41.870257,-87.639474,285975,0.0017693854357898418
cold,weekday,cold,Cannon Dr & Fullerton Ave,96,41.9267559875,-87.6344287848,285975,0.00033569367951744034
cold,weekday,cold,Carpenter St & 63rd St,1,41.77987,-87.650919,285975,3.4968091616400035e-06
cold,weekday,cold,Carpenter St & Fulton St,237,41.88668,-87.65315,285975,0.0008287437713086808
cold,weekday,cold,Carpenter St & Huron St,540,41.894556,-87.65344900000001,285975,0.0018882769472856019
cold,weekday,cold,Central & Elston,2,41.9855,-87.7682,285975,6.993618323280007e-06
cold,weekday,cold,Central Ave & Altgeld St,13,41.9258119,-87.7663685,285975,4.5458519101320045e-05
cold,weekday,cold,Central Ave & Chicago Ave,11,41.894958,-87.764902,285975,3.846490077804004e-05
cold,weekday,cold,Central Ave & Harrison St,5,41.872993,-87.764499,285975,1.7484045808200017e-05
cold,weekday,cold,Central Ave & Lake St,11,41.887664,-87.765469,285975,3.846490077804004e-05
cold,weekday,cold,Central Ave & Madison St,1,41.880121,-87.763238,285975,3.4968091616400035e-06
cold,weekday,cold,Central Ave & Parker Ave,10,41.9301785,-87.7661217,285975,3.4968091616400035e-05
cold,weekday,cold,Central Ave & Roscoe St,8,41.942275,-87.76695,285975,2.7974473293120028e-05
cold,weekday,cold,Central Ave & Wellington Ave,6,41.934905002777775,-87.76676849259259,285975,2.098085496984002e-05
cold,weekday,cold,Central Park & Augusta Blvd,18,41.8989108,-87.7164901,285975,6.294256490952006e-05
cold,weekday,cold,Central Park Ave & 24th St,19,41.8481,-87.715068,285975,6.643937407116007e-05
cold,weekday,cold,Central Park Ave & Ardmore Ave,15,41.9866081,-87.7187674,285975,5.245213742460005e-05
cold,weekday,cold,Central Park Ave & Bloomingdale Ave,95,41.914166,-87.716755,285975,0.00033219687035580033
cold,weekday,cold,Central Park Ave & Douglas Blvd,3,41.86235,-87.71587,285975,1.049042748492001e-05
cold,weekday,cold,Central Park Ave & Elbridge Ave,88,41.93533728263,-87.71688929350002,285975,0.0003077192062243203
cold,weekday,cold,Central Park Ave & North Ave,64,41.90965687563,-87.7166319516,285975,0.00022379578634496022
cold,weekday,cold,Central Park Ave & Ogden Ave,34,41.854063503874464,-87.71511733531952,285975,0.00011889151149576012
cold,weekday,cold,Central Park Ave & Ohio St,10,41.8918718,-87.7163879,285975,3.4968091616400035e-05
cold,weekday,cold,Central Park Ave & Washington Blvd,2,41.8827476,-87.7153994,285975,6.993618323280007e-06
cold,weekday,cold,Central Park Blvd & 5th Ave,11,41.875679,-87.71547,285975,3.846490077804004e-05
cold,weekday,cold,Central St & Girard Ave,55,42.064313,-87.686152,285975,0.0001923245038902002
cold,weekday,cold,Central St Metra,62,42.063598,-87.69873,285975,0.00021680216802168022
cold,weekday,cold,Cherry Ave & Blackhawk St,132,41.907221,-87.655618,285975,0.00046157880933648046
cold,weekday,cold,Chicago Ave & Sheridan Rd,315,42.050491,-87.677821,285975,0.001101494885916601
cold,weekday,cold,Chicago Ave & Washington St,120,42.032562,-87.679101,285975,0.0004196170993968004
cold,weekday,cold,Chicago State University,16,41.71896342165455,-87.60829567909241,285975,5.5948946586240056e-05
cold,weekday,cold,Christiana Ave & Lawrence Ave,128,41.96835449363001,-87.7118306675,285975,0.00044759157268992045
cold,weekday,cold,Cicero Ave & Lake St,5,41.886841,-87.745261,285975,1.7484045808200017e-05
cold,weekday,cold,Cicero Ave & Quincy St,2,41.877613,-87.745405,285975,6.993618323280007e-06
cold,weekday,cold,Cicero Ave & Roscoe Ave,8,41.942427,-87.747315,285975,2.7974473293120028e-05
cold,weekday,cold,Cicero Ave & Wellington Ave,3,41.93515,-87.74636,285975,1.049042748492001e-05
cold,weekday,cold,Cicero Ave & Wrightwood Ave,21,41.9279057,-87.7467295,285975,7.343299239444007e-05
cold,weekday,cold,Cityfront Plaza Dr & Pioneer Ct,772,41.890573,-87.622072,285975,0.0026995366727860827
cold,weekday,cold,Claremont Ave & Hirsch St,165,41.907781,-87.685854,285975,0.0005769735116706006
cold,weekday,cold,Clarendon Ave & Gordon Ter,820,41.95786652415175,-87.64950513839722,285975,0.002867383512544803
cold,weekday,cold,Clarendon Ave & Junior Ter,490,41.961004,-87.649603,285975,0.0017134364892036017
cold,weekday,cold,Clarendon Ave & Leland Ave,421,41.967968,-87.65000100000002,285975,0.0014721566570504415
cold,weekday,cold,Clark St & 9th St (AMLI),275,41.870816,-87.631246,285975,0.000961622519451001
cold,weekday,cold,Clark St & Arlington Pl,261,41.926939727841415,-87.64147979309305,285975,0.0009126671911880409
cold,weekday,cold,Clark St & Armitage Ave,892,41.918305755768,-87.63628183370878,285975,0.003119153772182883
cold,weekday,cold,Clark St & Berwyn Ave,668,41.97802884484359,-87.66836255860282,285975,0.0023358685199755223
cold,weekday,cold,Clark St & Bryn Mawr Ave,400,41.983593,-87.669154,285975,0.0013987236646560014
cold,weekday,cold,Clark St & Chicago Ave,760,41.89675,-87.63089,285975,0.0026575749628464027
cold,weekday,cold,Clark St & Columbia Ave,166,42.00445062934,-87.6724024047,285975,0.0005804703208322406
cold,weekday,cold,Clark St & Drummond Pl,719,41.931248,-87.644336,285975,0.0025142057872191625
cold,weekday,cold,Clark St & Eddy St,183,41.94628,-87.65627,285975,0.0006399160765801206
