end_station_name,return_count_dry,return_count_rainy,return_share_dry,return_share_rainy,total_return_count,rainy_minus_dry_share,rainy_dry_share_ratio,end_lat,end_lng
Western Ave & 28th St,114.0,34.0,3.5654749431556954e-05,3.057061857848422e-05,148.0,-5.084130853072736e-06,0.8574106298668049,41.84151770807,-87.68513144089998
Homan Ave & Fillmore St,57.0,14.0,1.7827374715778477e-05,1.2587901767611148e-05,71.0,-5.239472948167329e-06,0.7061160632028737,41.868114,-87.71092569999999
MLK Jr Dr & 83rd St,103.0,30.0,3.2214378872371634e-05,2.6974075216309604e-05,133.0,-5.24030365606203e-06,0.8373353398442819,41.743116,-87.6148
California Ave & 23rd Pl,362.0,120.0,0.00011321946749318963,0.00010789630086523842,482.0,-5.323166627951213e-06,0.9529840606931657,41.84910969176,-87.69513980680001
Damen Ave & Melrose Ave,2964.0,1025.0,0.0009270234852204809,0.0009216142365572448,3989.0,-5.4092486632361086e-06,0.9941649344224714,41.9406,-87.6785
Public Rack - Kedvale Ave & 63rd St W,118.0,35.0,3.690579327126071e-05,3.146975441902787e-05,153.0,-5.436038852232839e-06,0.8527089901233473,41.778760999999996,-87.726892
Eberhart Ave & 61st St,216.0,69.0,6.755636734400266e-05,6.204037299751209e-05,285.0,-5.5159943464905666e-06,0.9183509576623512,41.784071072761,-87.61448353528975
Pulaski Rd & Congress Pkwy,122.0,36.0,3.815683711096446e-05,3.2368890259571526e-05,158.0,-5.787946851392936e-06,0.848315646545653,41.87441021003816,-87.72609159350395
W 103rd St & S Avers Ave,56.0,13.0,1.751461375585254e-05,1.1688765927067496e-05,69.0,-5.825847828785043e-06,0.667391168246192,41.705846,-87.717074
Houston Ave & 92nd St,82.0,22.0,2.5646398713926934e-05,1.9780988491960378e-05,104.0,-5.865410221966556e-06,0.7713058432400964,41.72820421535798,-87.54970014095306
Mozart St & Jackson Blvd,220.0,70.0,6.880741118370641e-05,6.293950883805574e-05,290.0,-5.867902345650663e-06,0.9147211475355187,41.8775,-87.69740000000002
Halsted St & 96th St,160.0,49.0,5.004175358815011e-05,4.4057656186639024e-05,209.0,-5.984097401511087e-06,0.8804203011936559,41.71971218361882,-87.6430195569992
Conservatory Dr & Lake St,344.0,113.0,0.00010758977021452274,0.00010160234998143284,457.0,-5.987420233089899e-06,0.9443500569690901,41.885502,-87.716866
Sheffield Ave & Kingsbury St*,71.0,18.0,2.2206028154741614e-05,1.6184445129785763e-05,89.0,-6.021583024955851e-06,0.7288433651276237,41.910522,-87.653106
Damen Ave & Ohio St,284.0,92.0,8.882411261896645e-05,8.272049733001613e-05,376.0,-6.103615288950329e-06,0.9312850261712243,41.89239445296271,-87.67688512802124
Public Rack - Lawndale Ave & Diversey Ave,103.0,29.0,3.2214378872371634e-05,2.607493937576595e-05,132.0,-6.139439496605684e-06,0.8094251965519811,41.931702,-87.719254
Harding Ave & Division St,106.0,30.0,3.315266175214945e-05,2.6974075216309604e-05,136.0,-6.178586535839843e-06,0.8136378846466553,41.9023453,-87.7250744
Public Rack - Hamlin Ave & Fullerton Ave,129.0,38.0,4.0346163830446025e-05,3.416716194065883e-05,167.0,-6.179001889787192e-06,0.8468541205088496,41.924319,-87.721446
California Ave & Touhy Ave,224.0,71.0,7.005845502341016e-05,6.38386446785994e-05,295.0,-6.21981034481076e-06,0.9112209716342722,42.0120368,-87.7004371
Pulaski Rd & 51st St,457.0,152.0,0.00014293175868615375,0.00013666864776263533,609.0,-6.263110923518422e-06,0.9561814171846307,41.800434,-87.7247496
Central St & Girard Ave,690.0,233.0,0.00021580506234889735,0.00020949865084667125,923.0,-6.306411502226097e-06,0.9707774126751342,42.064313,-87.686152
California Ave & Byron St,1866.0,642.0,0.0005836119512218007,0.0005772452096290255,2508.0,-6.366741592775198e-06,0.9890908151036636,41.95216219326,-87.698051113
Commercial Ave & 130th St,75.0,19.0,2.3457071994445364e-05,1.7083580970329417e-05,94.0,-6.3734910241159475e-06,0.728302861990315,41.659150427597744,-87.55076229572296
Public Rack - Hyde Park Blvd & 53rd St,216.0,68.0,6.755636734400266e-05,6.114123715696844e-05,284.0,-6.41513018703422e-06,0.9050417380184707,41.799468,-87.584206
Pulaski Rd & Eddy St,446.0,148.0,0.00013949138812696844,0.00013307210440046072,594.0,-6.419283726507723e-06,0.953981118162055,41.946264,-87.731023
Spaulding Ave & 16th St,84.0,22.0,2.627192063377881e-05,1.9780988491960378e-05,106.0,-6.490932141818432e-06,0.752942117387851,41.8590732,-87.7078929
Manor Ave & Leland Ave,1099.0,375.0,0.0003437242949586061,0.00033717594020387005,1474.0,-6.54835475473605e-06,0.9809488715239166,41.965875,-87.700825
Commercial Ave & 97th St,47.0,9.0,1.4699765116519096e-05,8.092222564892881e-06,56.0,-6.6075425516262146e-06,0.550530703724979,41.71893,-87.55112
Spaulding Ave & 63rd,65.0,15.0,2.0329462395185985e-05,1.3487037608154802e-05,80.0,-6.842424787031183e-06,0.6634397853808093,41.7791655,-87.7056392
Public Rack - Western Ave & 47th Pl,88.0,23.0,2.7522964473482563e-05,2.068012433250403e-05,111.0,-6.842840140978532e-06,0.7513861003718728,41.808038,-87.68470899999998
Kedzie Ave & Redfield Dr,71.0,17.0,2.2206028154741614e-05,1.528530928924211e-05,88.0,-6.9207188654995044e-06,0.6883545687754801,41.76523,-87.70316
Loomis St & Jackson Blvd,3705.0,1281.0,0.0011587793565256011,0.0011517930117364201,4986.0,-6.986344789180988e-06,0.9939709499303835,41.877945,-87.662007
Milwaukee Ave & Wabansia Ave*,77.0,19.0,2.4082593914297243e-05,1.7083580970329417e-05,96.0,-6.999012943967826e-06,0.7093866900067246,41.912616,-87.681391
Lincoln Ave & Peterson Ave,514.0,171.0,0.00016075913340193222,0.00015375222873296475,685.0,-7.006904668967472e-06,0.9564139160581012,41.990267,-87.70857
Shabbona Park,241.0,76.0,7.537539134215111e-05,6.833432388131767e-05,317.0,-7.041067460833444e-06,0.9065878939617528,41.94480000000001,-87.79932
Meade Ave & Diversey Ave,60.0,13.0,1.8765657595556293e-05,1.1688765927067496e-05,73.0,-7.076891668488797e-06,0.6229007945365554,41.93086,-87.77845
Kedzie Ave & Leland Ave,1463.0,501.0,0.0004575692843716476,0.0004504670561123704,1964.0,-7.1022282592771895e-06,0.984478388344142,41.96668636205,-87.7080519806
South Shore Dr & 74th St,365.0,119.0,0.00011415775037296744,0.00010699716502469476,484.0,-7.16058534827268e-06,0.9372751950693367,41.76218896038,-87.55927465
Vernon Ave & 79th St,75.0,18.0,2.3457071994445364e-05,1.6184445129785763e-05,93.0,-7.272626864659601e-06,0.6899733760565793,41.75094,-87.61379
Public Rack - Forest Glen Station,55.0,11.0,1.7201852795926602e-05,9.890494245980189e-06,66.0,-7.311358549946413e-06,0.5749915065437495,41.97871,-87.75552
Mango Ave & North Ave,104.0,28.0,3.252713983229757e-05,2.5175803535222296e-05,132.0,-7.351336297075275e-06,0.7740007164573226,41.90958,-87.7691175
Racine Ave & 115th St,61.0,13.0,1.907841855548223e-05,1.1688765927067496e-05,74.0,-7.389652628414735e-06,0.6126898413111541,41.68476,-87.65196
Kedzie Ave & 24th St,96.0,25.0,3.0025052152890067e-05,2.247839601359134e-05,121.0,-7.5466561392987285e-06,0.7486630576383533,41.848192999999995,-87.70541199999998
Elizabeth St & Fulton St,4995.0,1729.0,0.0015622409948300613,0.001554605868299977,6724.0,-7.635126530084347e-06,0.9951127120155832,41.88678352528257,-87.65919419155264
Le Mai Ave & Devon Ave,59.0,12.0,1.8452896635630356e-05,1.0789630086523843e-05,71.0,-7.663266549106513e-06,0.5847345034809367,41.99722,-87.75687
Ave L & 114th,82.0,20.0,2.5646398713926934e-05,1.798271681087307e-05,102.0,-7.663681903053864e-06,0.7011906747918116,41.68803,-87.53641
Central Ave & Chicago Ave,137.0,39.0,4.284825150985353e-05,3.506629778120249e-05,176.0,-7.781953728651046e-06,0.8183876391198683,41.894958,-87.764902
Halsted St & Roosevelt Rd,3918.0,1354.0,0.0012253974409898259,0.0012174299280961068,5272.0,-7.967512893719032e-06,0.9934980226616877,41.867324,-87.648625
Noble St & Potomac Ave,106.0,28.0,3.315266175214945e-05,2.5175803535222296e-05,134.0,-7.97685821692715e-06,0.7593973698422621,41.90383473134329,-87.66286604477612
Public Rack - Justine St & 87th St,129.0,36.0,4.0346163830446025e-05,3.2368890259571526e-05,165.0,-7.977273570874499e-06,0.8022841554762559,41.736019,-87.66243
Stony Island Ave & 64th St,152.0,44.0,4.753966590874261e-05,3.9561976983920755e-05,196.0,-7.977688924821855e-06,0.8321923184640379,41.778881,-87.58664699999999
State St & 45th St,89.0,22.0,2.78357254334085e-05,1.9780988491960378e-05,111.0,-8.054736941448123e-06,0.7106435180130363,41.813129999999994,-87.62585
Public Rack - Milwaukee Ave & Diversey Ave,328.0,105.0,0.00010258559485570774,9.440926325708362e-05,433.0,-8.176331598624113e-06,0.9202982454956765,41.93123,-87.711501
Dearborn St & Washington St,127.0,35.0,3.972064191059415e-05,3.146975441902787e-05,162.0,-8.250887491566278e-06,0.7922823152643726,41.88299,-87.6293
Washtenaw Ave & Peterson Ave,173.0,51.0,5.4107646067187307e-05,4.585592786772633e-05,224.0,-8.251718199460975e-06,0.847497233820733,41.99066,-87.697075
