end_station_name,return_count_cold,return_count_mild,return_share_cold,return_share_mild,total_return_count,cold_minus_mild_share,cold_mild_share_ratio,end_lat,end_lng
Damen Ave & Clybourn Ave,215.0,2567.0,0.0007518139697526008,0.0009114698916675248,2782.0,-0.00015965592191492404,0.8248370591156943,41.931931,-87.677856
Damen Ave & Foster Ave,277.0,3178.0,0.000968616137774281,0.0011284188997738192,3455.0,-0.00015980276199953824,0.8583836016791542,41.9758109755749,-87.67950989857908
Racine/Eddy Corral,5.0,501.0,1.7484045808200017e-05,0.00017789108520663416,506.0,-0.00016040703939843414,0.09829018411859025,41.9463404,-87.6591024
N Carpenter St & W Lake St,206.0,2481.0,0.0007203426872978407,0.0008809336974005177,2687.0,-0.00016059101010267702,0.8177038427745522,41.885586,-87.6531893
Elston Ave & George St,60.0,1044.0,0.0002098085496984002,0.0003706951955204113,1104.0,-0.0001608866458220111,0.5659878688634873,41.934003,-87.690823
Damen Ave & Division St,476.0,5142.0,0.0016644811609406417,0.001825780359545934,5618.0,-0.00016129919860529232,0.9116547018283685,41.903266,-87.678435
Kedzie Ave & George St,52.0,968.0,0.00018183407640528018,0.00034370972151700975,1020.0,-0.00016187564511172957,0.5290352177631485,41.933886,-87.707262
LaSalle St & Washington St Corral N,0.0,464.0,0.0,0.00016475342023129392,464.0,-0.00016475342023129392,6.0696398833860076e-06,41.88288,-87.63251
Cottage Grove Ave & Oakwood Blvd,22.0,682.0,7.692980155608008e-05,0.0002421591219778932,704.0,-0.00016522932042181313,0.31768567395709807,41.822985,-87.6071
Addison/Racine Corral,21.0,676.0,7.343299239444007e-05,0.00024002868981972994,697.0,-0.00016659569742528987,0.3059371215685501,41.9470683,-87.6593535
California Ave & Montrose Ave,163.0,2077.0,0.0005699798933473206,0.0007374845987508566,2240.0,-0.000167504705403536,0.7728705405403804,41.961068,-87.69543899999998
Damen Ave & Charleston St,291.0,3348.0,0.001017571466037241,0.001188781144255112,3639.0,-0.00017120967821787104,0.8559789284813404,41.920082,-87.677855
Broadway & Wilson Ave,573.0,6130.0,0.002003671649619722,0.0021765915215901546,6703.0,-0.0001729198719704326,0.9205547798886572,41.965221,-87.658139
Milwaukee Ave & Ainslie St,76.0,1241.0,0.00026575749628464027,0.00044064438471343913,1317.0,-0.00017488688842879886,0.6031119478477428,41.96861,-87.76108
Hampden Ct & Diversey Ave,120.0,1677.0,0.0004196170993968004,0.0005954557882066377,1797.0,-0.00017583868880983729,0.7046994974405816,41.9325593,-87.6423847
Sheridan Rd & Greenleaf Ave,77.0,1260.0,0.00026925430544628027,0.00044739075321428953,1337.0,-0.00017813644776800927,0.6018334122428799,42.01058656284,-87.66241209479999
Sheridan Rd & Argyle St,399.0,4438.0,0.0013952268554943614,0.0015758096529881087,4837.0,-0.00018058279749374735,0.8854032385481595,41.97328682025978,-87.65475958585739
63rd St Beach,7.0,578.0,2.4477664131480024e-05,0.0002052316312363963,585.0,-0.00018075396710491627,0.11927276858466226,41.78091096424803,-87.57632374763489
Wells St & Randolph St Corral,46.0,985.0,0.00016085322143544016,0.000349745945965139,1031.0,-0.00018889272452969884,0.4599160143959435,41.88438,-87.63396
Kimball Ave & Belmont Ave,210.0,2608.0,0.0007343299239444007,0.0009260278447483072,2818.0,-0.00019169792080390644,0.7929892552580157,41.93939395344302,-87.71206766366959
California Ave & Byron St,109.0,1615.0,0.0003811521986187604,0.0005734413225722838,1724.0,-0.00019228912395352345,0.6646757374116122,41.95216219326,-87.698051113
Clark/Eddy,0.0,543.0,0.0,0.00019280411031377716,543.0,-0.00019280411031377716,5.186584517249405e-06,41.94659999999999,-87.65610000000001
Central Park Ave & Bloomingdale Ave,95.0,1482.0,0.00033219687035580033,0.000526216743066331,1577.0,-0.00019401987271053071,0.6312935561998447,41.914166,-87.716755
Rockwell St & Fletcher St,57.0,1109.0,0.0001993181222134802,0.00039377487723384687,1166.0,-0.00019445675502036667,0.5061740287740201,41.93877151938426,-87.69298122576966
Leavitt St & Chicago Ave,282.0,3325.0,0.000986100183582481,0.0011806144876488195,3607.0,-0.00019451430406633853,0.8352433064776142,41.895501,-87.682017
Eckhart Park,402.0,4510.0,0.0014057172829792814,0.001601374838886068,4912.0,-0.00019565755590678665,0.8778190908369844,41.89637337,-87.66098386
Lake Park Ave & 35th St,79.0,1332.0,0.0002762479237695603,0.0004729559391122489,1411.0,-0.00019670801534268863,0.5840889538233351,41.83127423549,-87.6087991946
Larrabee St & North Ave,297.0,3481.0,0.001038552321007081,0.0012360057237610648,3778.0,-0.0001974534027539838,0.8402489250599303,41.91021,-87.6435
Honore St & Division St,595.0,6422.0,0.002080601451175802,0.0022802725532874344,7017.0,-0.0001996711021116323,0.9124354611648372,41.903119,-87.673935
Wolcott (Ravenswood) Ave & Montrose Ave,274.0,3261.0,0.000958125710289361,0.0011578898779617446,3535.0,-0.00019976416767238363,0.8274758256805409,41.961406,-87.676169
Ashland Ave & Wrightwood Ave,310.0,3618.0,0.001084010840108401,0.00128465059137246,3928.0,-0.00020063975126405884,0.8438177692601424,41.92882999871071,-87.6685067415486
Richmond St & Diversey Ave,119.0,1744.0,0.0004161202902351604,0.0006192456139727944,1863.0,-0.000203125323737634,0.6719799201896678,41.93190196886,-87.7011951301
Elston Ave & Wabansia Ave,135.0,1910.0,0.00047206923682140047,0.0006781875703486452,2045.0,-0.0002061183335272447,0.6960751883192564,41.912919,-87.664169
Halsted St & Willow St,493.0,5445.0,0.0017239269166885217,0.0019333671835331796,5938.0,-0.0002094402668446579,0.8916707802329139,41.913865,-87.648755
Broadway & Argyle St,339.0,3931.0,0.0011854183057959612,0.0013957881356233112,4270.0,-0.00021036982982735003,0.8492825137706734,41.97423,-87.65977350000001
Burling St & Armitage Ave,0.0,596.0,0.0,0.00021162292771088615,596.0,-0.00021162292771088615,4.725363576873822e-06,41.918079999999996,-87.64728
State St & 19th St,121.0,1794.0,0.0004231139085584404,0.0006369992152908217,1915.0,-0.00021388530673238128,0.6642304011863918,41.856594,-87.627542
Avers Ave & Belmont Ave,121.0,1794.0,0.0004231139085584404,0.0006369992152908217,1915.0,-0.00021388530673238128,0.6642304011863918,41.939408,-87.723574
Sheffield Ave & Fullerton Ave,1090.0,11344.0,0.003811521986187604,0.004027937067034048,12434.0,-0.0002164150808464443,0.9462714974151027,41.9256163,-87.65365740000001
Lincoln Ave & Diversey Pkwy,570.0,6224.0,0.001993181222134802,0.002209968292068046,6794.0,-0.00021678706993324406,0.9019049401675717,41.93222500062526,-87.65861701501092
Rockwell St & Eastwood Ave,155.0,2143.0,0.0005420054200542005,0.0007609193524906528,2298.0,-0.0002189139324364522,0.7123037493741615,41.96590013976,-87.69363849350002
Franklin St & Chicago Ave,780.0,8299.0,0.0027275111460792027,0.0029467427467661815,9079.0,-0.00021923160068697874,0.9256020816443343,41.896792266987376,-87.63564033012628
California Ave & Francis Pl,187.0,2468.0,0.0006539033132266807,0.0008763177610578306,2655.0,-0.00022241444783114997,0.7461945838490701,41.91849116331977,-87.69742283132375
Lincoln Ave & Addison St,194.0,2538.0,0.0006783809773581607,0.0009011728029030689,2732.0,-0.00022279182554490822,0.7527759630526323,41.946176,-87.673308
Southport Ave & Irving Park Rd,387.0,4441.0,0.0013532651455546814,0.0015768748690671902,4828.0,-0.00022360972351250885,0.8581944667307349,41.954177,-87.664358
Fort Dearborn Dr & 31st St,14.0,772.0,4.895532826296005e-05,0.00027411560435034246,786.0,-0.0002251602760873824,0.17859672667034074,41.83855595291223,-87.60821812148446
Waveland/Racine Corral,9.0,735.0,3.147128245476003e-05,0.00026097793937500223,744.0,-0.0002295066569202422,0.12059318859265236,41.9488214,-87.6592823
Wood St & Augusta Blvd,356.0,4155.0,0.0012448640615438412,0.0014753242695280738,4511.0,-0.00023046020798423252,0.8437902388413966,41.899181,-87.6722
Larrabee St & Menomonee St,298.0,3596.0,0.001042049130168721,0.0012768390067925278,3894.0,-0.00023478987662380675,0.8161164473428365,41.91468,-87.64332
