end_station_name,return_count_weekday,return_count_weekend,return_share_weekday,return_share_weekend,condition_type,condition_value,weekend_minus_weekday_share_under_weather,total_return_count_under_weather,end_lat,end_lng
Clarendon Ave & Gordon Ter,820.0,301.0,0.002867383512544803,0.003728339093059839,cold,cold,0.0008609555805150363,1121.0,41.95786652415175,-87.64950513839722
Clarendon Ave & Junior Ter,490.0,228.0,0.0017134364892036017,0.0028241239641782173,cold,cold,0.0011106874749746156,718.0,41.961004,-87.649603
Clarendon Ave & Leland Ave,421.0,127.0,0.0014721566570504415,0.001573086594081726,cold,cold,0.00010092993703128463,548.0,41.967968,-87.65000100000002
Clark St & 9th St (AMLI),275.0,67.0,0.000961622519451001,0.0008298960771927217,cold,cold,-0.00013172644225827924,342.0,41.870816,-87.631246
Clark St & Arlington Pl,261.0,85.0,0.0009126671911880409,0.0010528532322594231,cold,cold,0.00014018604107138223,346.0,41.926939727841415,-87.64147979309305
Clark St & Armitage Ave,892.0,381.0,0.003119153772182883,0.004719259782245178,cold,cold,0.0016001060100622952,1273.0,41.918305755768,-87.63628183370878
Clark St & Berwyn Ave,668.0,306.0,0.0023358685199755223,0.003790271636133923,cold,cold,0.0014544031161584006,974.0,41.97802884484359,-87.66836255860282
Clark St & Bryn Mawr Ave,400.0,178.0,0.0013987236646560014,0.00220479853343738,cold,cold,0.0008060748687813788,578.0,41.983593,-87.669154
Clark St & Chicago Ave,760.0,300.0,0.0026575749628464027,0.0037159525844450226,cold,cold,0.00105837762159862,1060.0,41.89675,-87.63089
Clark St & Columbia Ave,166.0,71.0,0.0005804703208322406,0.0008794421116519887,cold,cold,0.0002989717908197481,237.0,42.00445062934,-87.6724024047
Clark St & Drummond Pl,719.0,303.0,0.0025142057872191625,0.0037531121102894727,cold,cold,0.0012389063230703102,1022.0,41.931248,-87.644336
Clark St & Eddy St,183.0,62.0,0.0006399160765801206,0.000767963534118638,cold,cold,0.00012804745753851733,245.0,41.94628,-87.65627
Clark St & Elm St,1958.0,754.0,0.006846752338491127,0.009339427495571824,cold,cold,0.002492675157080697,2712.0,41.90301732164141,-87.63152289470456
Clark St & Elmdale Ave,147.0,49.0,0.0005140309467610805,0.0006069389221260203,cold,cold,9.290797536493979e-05,196.0,41.99086044812557,-87.66972362995148
Clark St & Fletcher St,54.0,23.0,0.0001888276947285602,0.00028488969814078507,cold,cold,9.606200341222488e-05,77.0,41.93894,-87.65030999999999
Clark St & Grace St,464.0,176.0,0.0016225194510009616,0.0021800255162077466,cold,cold,0.000557506065206785,640.0,41.95078,-87.659172
Clark St & Ida B Wells Dr,782.0,89.0,0.0027345047644024827,0.00110239926671869,cold,cold,-0.0016321054976837926,871.0,41.8759326655,-87.6305845355
Clark St & Jarvis Ave,47.0,26.0,0.00016435003059708016,0.0003220492239852353,cold,cold,0.00015769919338815512,73.0,42.015963000000006,-87.675005
Clark St & Lake St,1601.0,240.0,0.005598391467785646,0.002972762067556018,cold,cold,-0.0026256294002296276,1841.0,41.88602073203813,-87.63087535800302
Clark St & Leland Ave,417.0,167.0,0.0014581694204038815,0.0020685469386743957,cold,cold,0.0006103775182705142,584.0,41.96708784150231,-87.66729089029786
Clark St & Lincoln Ave,896.0,299.0,0.003133141008829443,0.0037035660758302055,cold,cold,0.0005704250670007624,1195.0,41.915689,-87.6346
Clark St & Lunt Ave,289.0,60.0,0.001010577847713961,0.0007431905168890045,cold,cold,-0.0002673873308249565,349.0,42.00901118058077,-87.67411172389984
Clark St & Montrose Ave,328.0,135.0,0.0011469534050179211,0.00167217866300026,cold,cold,0.0005252252579823389,463.0,41.961588,-87.666036
Clark St & Newport St,861.0,406.0,0.003010752688172043,0.005028922497615597,cold,cold,0.002018169809443554,1267.0,41.94454,-87.654678
Clark St & North Ave,364.0,152.0,0.0012728385348369613,0.0018827493094521446,cold,cold,0.0006099107746151834,516.0,41.911974,-87.631942
