end_station_name,return_count_cold,return_count_mild,return_share_cold,return_share_mild,total_return_count,cold_minus_mild_share,cold_mild_share_ratio,end_lat,end_lng
Rockwell Ave & Logan Blvd,9.0,130.0,0.00011147857753335067,0.00011540465755443327,139.0,-3.926080021082604e-06,0.9659801771916529,41.928110000000004,-87.69268
Bernard St & Peterson Ave,4.0,61.0,4.9546034459266966e-05,5.415141623708023e-05,65.0,-4.605381777813262e-06,0.9149551931782541,41.9904393,-87.715236
Calumet Park,4.0,61.0,4.9546034459266966e-05,5.415141623708023e-05,65.0,-4.605381777813262e-06,0.9149551931782541,41.71370983035615,-87.53084421157837
Racine Ave & 15th St,47.0,661.0,0.0005821659048963868,0.0005867882972575415,708.0,-4.622392361154659e-06,0.9921225687265289,41.861267,-87.656625
Elston Ave & Carmen Ave,6.0,89.0,7.431905168890045e-05,7.900780401803509e-05,95.0,-4.6887523291346385e-06,0.940655318259667,41.97354,-87.74955
California Ave & Byron St,52.0,732.0,0.0006440984479704706,0.0006498169948449627,784.0,-5.718546874492131e-06,0.9911997714439156,41.95216219326,-87.698051113
MLK Jr Dr & Pershing Rd,24.0,342.0,0.0002972762067556018,0.0003036030221816629,366.0,-6.3268154260611126e-06,0.9791609630840944,41.8246,-87.61678
Southport Ave & Roscoe St,323.0,4514.0,0.004000842282585807,0.004007204801543937,4837.0,-6.362518958129282e-06,0.9984122305483591,41.943738999999994,-87.66402
Bosworth Ave & Howard St,13.0,189.0,0.00016102461199261764,0.0001677806175214453,202.0,-6.7560055288276544e-06,0.9597333389162008,42.019537,-87.669563
Kedzie Ave & Archer Ave,3.0,50.0,3.7159525844450226e-05,4.4386406751705104e-05,53.0,-7.226880907254878e-06,0.8371862328502158,41.81447,-87.70411
Central Park Ave & Ardmore Ave,9.0,134.0,0.00011147857753335067,0.00011895557009456968,143.0,-7.476992561219014e-06,0.9371451904230691,41.9866081,-87.7187674
Long Ave & Diversey Ave,3.0,51.0,3.7159525844450226e-05,4.52741348867392e-05,54.0,-8.114609042288977e-06,0.8207711790900551,41.93104,-87.76124
Wood St & Walnut St,4.0,65.0,4.9546034459266966e-05,5.770232877721664e-05,69.0,-8.156294317949672e-06,0.8586512339792419,41.88417586306651,-87.67124295169083
Michigan Ave & 14th St,206.0,2884.0,0.0025516207746522487,0.0025602079414383506,3090.0,-8.587166786101861e-06,0.9966459117273149,41.864059,-87.623727
Keystone Ave & Fullerton Ave,15.0,219.0,0.00018579762922225112,0.00019441246157246835,234.0,-8.614832350217229e-06,0.9556880872315212,41.92459,-87.72785
Avers Ave & Belmont Ave,49.0,694.0,0.0006069389221260203,0.0006160833257136669,743.0,-9.144403587646585e-06,0.9851572208446404,41.939408,-87.723574
Glenwood Ave & Morse Ave,96.0,1350.0,0.0011891048270224072,0.0011984329822960378,1446.0,-9.328155273630612e-06,0.9922163795324302,42.00797192287,-87.6655023944
