end_station_name,return_count_dry,return_count_rainy,return_share_dry,return_share_rainy,total_return_count,rainy_minus_dry_share,rainy_dry_share_ratio,end_lat,end_lng
Damen Ave & Madison St,1350.0,420.0,0.0005777682481681537,0.0005484976388482595,1770.0,-2.9270609319894205e-05,0.9493385821195951,41.88137,-87.67493
Lincoln Ave & Peterson Ave,371.0,99.0,0.00015877927412621113,0.00012928872915708971,470.0,-2.9490544969121415e-05,0.8142682072353647,41.990267,-87.70857
St. Clair St & Erie St 1,97.0,9.0,4.1513718572082154e-05,1.1753520832462701e-05,106.0,-2.976019773961945e-05,0.2831410457968849,41.894400000000005,-87.62286
Whipple/Irving Park,451.0,125.0,0.0001930173925361758,0.0001632433448953153,576.0,-2.9774047640860485e-05,0.8457450233128421,41.954189,-87.704448
Sheffield Ave & Wellington Ave,6905.0,2240.0,0.002955177595260075,0.0029253207405240504,9145.0,-2.985685473602456e-05,0.9898967680721859,41.936253484169214,-87.6526620968688
Claremont Ave & Hirsch St,1205.0,372.0,0.0005157116585500927,0.00048581219440845837,1577.0,-2.9899464141634313e-05,0.9420230167983552,41.907781,-87.685854
Clarendon Ave & Leland Ave,3448.0,1107.0,0.001475662903469477,0.0014456830623929124,4555.0,-2.9979841076564588e-05,0.9796838284069441,41.967968,-87.65000100000002
Leavitt St & Chicago Ave,2734.0,873.0,0.0011700876966605424,0.0011400915207488821,3607.0,-2.9996175911660254e-05,0.9743641862388125,41.895501,-87.682017
Winchester Ave & Elston Ave,1642.0,515.0,0.0007027373803645246,0.0006725625809686991,2157.0,-3.0174799395825576e-05,0.9570611194166265,41.92409085038,-87.6764600747
Racine Ave & Belmont Ave,5042.0,1629.0,0.002157857412788023,0.0021273872706757493,6671.0,-3.047014211227366e-05,0.9858794525480913,41.939743,-87.658865
Campbell Ave & Irving Park Rd,390.0,104.0,0.00016691082724857773,0.00013581846295290234,494.0,-3.109236429567539e-05,0.8137198255617303,41.953634,-87.690782
Loomis St & Lexington St*,129.0,18.0,5.520896593606802e-05,2.3507041664925403e-05,147.0,-3.170192427114261e-05,0.4257934462801013,41.87222873224032,-87.66136385500431
Shore Dr & 55th St,5589.0,1807.0,0.002391960547416156,0.002359845793806678,7396.0,-3.211475360947796e-05,0.9865738838301272,41.795212,-87.580715
Fairfield Ave & Roosevelt Rd,158.0,27.0,6.762028385968021e-05,3.526056249738811e-05,185.0,-3.23597213622921e-05,0.5214565664053168,41.866624,-87.694521
Keystone Ave & Montrose Ave,604.0,173.0,0.0002584977939952332,0.0002259287893351164,777.0,-3.2569004660116835e-05,0.8740071311097976,41.96110801623001,-87.7289701012
Damen Ave & Cullerton St,1383.0,428.0,0.0005918914720122641,0.0005589452129215597,1811.0,-3.294625909070446e-05,0.9443374250415846,41.854966518753926,-87.67569959163664
Fort Dearborn Dr & 31st St,611.0,175.0,0.0002614936293561051,0.00022854068285344144,786.0,-3.295294650266367e-05,0.8739823200812734,41.83855595291223,-87.60821812148446
Sheffield Ave & Fullerton Ave*,149.0,23.0,6.376849553855918e-05,3.0036775460738017e-05,172.0,-3.373172007782116e-05,0.4710367426785621,41.9256163,-87.6536574
Fort Dearborn Dr & 31st St*,1724.0,539.0,0.0007378314517347385,0.0007039053031885996,2263.0,-3.392614854613892e-05,0.9540191699804282,41.83867628233386,-87.60883195345701
Larrabee St & Kingsbury St 1,1010.0,305.0,0.00043225624492580387,0.00039831376154456934,1315.0,-3.394248338123453e-05,0.9214761955301393,41.89777797048414,-87.64288463116276
Ogden Ave & Roosevelt Rd,772.0,227.0,0.000330397842656159,0.0002964499143298926,999.0,-3.394792832626638e-05,0.8972516729981543,41.86650148316,-87.68469707
Field Museum,4178.0,1343.0,0.0017880857339604044,0.0017538864975552677,5521.0,-3.4199236405136734e-05,0.9808738380775359,41.8653120005395,-87.61786701481803
Damen Ave & Foster Ave,2622.0,833.0,0.0011221543308865918,0.0010878536503823812,3455.0,-3.430068050421062e-05,0.9694332152063918,41.9758109755749,-87.67950989857908
Rockwell Ave & Logan Blvd,233.0,50.0,9.971851986902208e-05,6.529733795812612e-05,283.0,-3.442118191089596e-05,0.654820019629989,41.928110000000004,-87.69268
Racine Ave & Washington Blvd,2717.0,864.0,0.0011628120964984247,0.0011283379999164195,3581.0,-3.447409658200525e-05,0.9703528480322272,41.883073,-87.656952
Larrabee St & Menomonee St,2953.0,941.0,0.0012638145458078206,0.0012288959003719337,3894.0,-3.491864543588691e-05,0.9723704574202185,41.91468,-87.64332
Broadway & Cuyler Ave,271.0,62.0,0.0001159816261137553,8.096869906807639e-05,333.0,-3.501292704567891e-05,0.6981192078601638,41.955417,-87.6515
Greenwood Ave & 47th St,868.0,257.0,0.0003714835847481166,0.00033562831710476826,1125.0,-3.585526764334835e-05,0.9034811426491361,41.809835,-87.59938299999999
Blue Island Ave & 18th St,2565.0,813.0,0.001097759671519492,0.0010617347151991308,3378.0,-3.602495632036118e-05,0.9671832328712447,41.857556,-87.661535
Wabash Ave & Wacker Pl,5528.0,1784.0,0.002365853982128558,0.00232980901834594,7312.0,-3.604496378261778e-05,0.9847645083680538,41.886875,-87.62603
N Damen Ave & W Chicago Ave,561.0,156.0,0.0002400948053498772,0.0002037276944293535,717.0,-3.63671109205237e-05,0.8485308359822109,41.895809,-87.678519
Franklin St & Madison St,327.0,79.0,0.00013994830900073056,0.00010316979397383927,406.0,-3.6778515026891285e-05,0.7372011674119857,41.88139,-87.63542000000001
Lincoln Ave & Winona St,1235.0,376.0,0.0005285509529538295,0.0004910359814451085,1611.0,-3.751497150872101e-05,0.9290231143805876,41.97491129677,-87.6925025594
Lincoln Ave & Diversey Pkwy,5139.0,1655.0,0.002199371131360105,0.0021613418864139746,6794.0,-3.802924494613041e-05,0.9827090448206176,41.93222500062526,-87.65861701501092
Lincoln Ave & Sunnyside Ave,2939.0,934.0,0.0012578228750860768,0.001219754273057796,3873.0,-3.8068602028280786e-05,0.96973455283978,41.963004,-87.684781
Clark St & 9th St (AMLI),2165.0,680.0,0.0009265690794696687,0.0008880437962305153,2845.0,-3.852528323915346e-05,0.958421619591684,41.870816,-87.631246
Sheridan Rd & Berwyn Ave,208.0,38.0,8.901910786590812e-05,4.9625976848175855e-05,246.0,-3.939313101773227e-05,0.5574805292634498,41.97828,-87.65529
Millennium Park,12924.0,4205.0,0.005531168029129791,0.005491506122278407,17129.0,-3.966190685138378e-05,0.9928293807977111,41.8810317,-87.62408432
Clinton St & 18th St,1820.0,566.0,0.0007789171938266961,0.0007391658656859877,2386.0,-3.975132814070838e-05,0.948965978127412,41.85795,-87.640826
Sheridan Rd & Loyola Ave,2040.0,638.0,0.0008730720194540988,0.0008331940323456894,2678.0,-3.9877987108409454e-05,0.954324568255077,42.00104377979,-87.6611982433
St. Louis Ave & Balmoral Ave,643.0,180.0,0.000275188876720091,0.00023507041664925404,823.0,-4.011846007083696e-05,0.8542153492381429,41.98039423475,-87.7161149615
Laflin St & Cullerton St,1465.0,449.0,0.0006269855433824778,0.0005863700948639726,1914.0,-4.0615448518505244e-05,0.935221179868722,41.85491457576575,-87.66355991363525
California Ave & Milwaukee Ave,5518.0,1777.0,0.0023615742173273124,0.002320667391031802,7295.0,-4.0906826295510155e-05,0.9826781607482289,41.922695,-87.697153
Wood St & Cortland St,249.0,50.0,0.00010656614355101501,6.529733795812612e-05,299.0,-4.126880559288889e-05,0.6127436260583169,41.915890000000005,-87.67281
Sedgwick St & Huron St,7701.0,2492.0,0.003295846873439223,0.003254419323833006,10193.0,-4.1427549606217005e-05,0.9874303817418043,41.894666,-87.638437
Halsted St & Melrose St,234.0,44.0,0.00010014649634914664,5.746165740315099e-05,278.0,-4.268483894599565e-05,0.5737802690824895,41.94112,-87.64907000000001
Damen Ave & Wellington Ave,2474.0,778.0,0.0010588138118281572,0.0010160265786284424,3252.0,-4.2787233199714824e-05,0.9595895026007069,41.93588,-87.67842000000002
Michigan Ave & 18th St,4348.0,1392.0,0.0018608417355815794,0.0018178778887542313,5740.0,-4.2963846827348074e-05,0.9769116185877361,41.857926,-87.62433600000001
Sheffield Ave & Webster Ave,6988.0,2257.0,0.0029906996431104133,0.0029475218354298133,9245.0,-4.3177807680600064e-05,0.9855626447334114,41.92154,-87.653818
Western Ave & Lyndale St,254.0,50.0,0.0001087060259516378,6.529733795812612e-05,304.0,-4.340868799351168e-05,0.6006818546133018,41.922599999999996,-87.68772000000001
Ashland Ave & Augusta Blvd,3379.0,1074.0,0.0014461325263408825,0.0014025868193405491,4453.0,-4.354570700033336e-05,0.9698881837623141,41.89962082184989,-87.66838462985125
Wallace St & 28th St,176.0,24.0,7.532386050192225e-05,3.134272221990054e-05,200.0,-4.398113828202171e-05,0.41611390995009767,41.843511,-87.6419
Sedgwick St & Chicago Ave,204.0,33.0,8.73072019454099e-05,4.309624305236324e-05,237.0,-4.4210958893046656e-05,0.49362192889174505,41.89677,-87.6386
Kimball Ave & Belmont Ave,2148.0,670.0,0.0009192934793075512,0.0008749843286388901,2818.0,-4.430915066866111e-05,0.9518009172620764,41.93939395344302,-87.71206766366959
Clark St & Bryn Mawr Ave,3798.0,1210.0,0.0016254546715130723,0.0015801955785866523,5008.0,-4.525909292642e-05,0.9721560583166872,41.983593,-87.669154
Sacramento Ave & Lyndale St,228.0,39.0,9.757863746839928e-05,5.0931923607338374e-05,267.0,-4.664671386106091e-05,0.5219626238500094,41.92235,-87.70241
May St & Taylor St,4546.0,1454.0,0.001945581078646242,0.0018988465878223076,6000.0,-4.673449082393433e-05,0.9759791728465895,41.86941940540373,-87.65523116767652
Malcolm X College,1221.0,364.0,0.0005225592822320857,0.00047536462033515817,1585.0,-4.7194661896927535e-05,0.9096857080386241,41.877618,-87.673895
Kingsbury St & Erie St,11133.0,3612.0,0.004764662153226708,0.004717079694095031,14745.0,-4.758245913167626e-05,0.990013468402388,41.8939139,-87.6417358
Sheffield Ave & Fletcher St,335.0,73.0,0.00014337212084172701,9.533411341886414e-05,408.0,-4.803800742286288e-05,0.6649441182500787,41.939009999999996,-87.65321000000002
Addison/Sheffield SE Corral,216.0,34.0,9.244291970690458e-05,4.440218981152576e-05,250.0,-4.804072989537882e-05,0.48032569315869583,41.9470281,-87.654252
Franklin St & Adams St (Temp),1159.0,342.0,0.0004960247404643631,0.0004466337916335827,1501.0,-4.93909488307804e-05,0.9004266416002077,41.87943409140013,-87.63550400733948
Cottage Grove Ave & 63rd St,546.0,141.0,0.00023367515814800882,0.00018413849304191568,687.0,-4.953666510609315e-05,0.788011470666524,41.78053094070882,-87.6059702038765
Paulina St & Adams St,238.0,40.0,0.00010185840226964487,5.22378703665009e-05,278.0,-4.962053190314397e-05,0.5128527087584197,41.87862,-87.66913
Sheridan Rd & Greenleaf Ave,1036.0,301.0,0.0004433836334090424,0.00039308997450791924,1337.0,-5.0293658901123144e-05,0.886568782245719,42.01058656284,-87.66241209479999
