start_station_id,start_station_name,weekday_count,weekend_count,total_start_count,start_lat,start_lng,weekday_system_share,weekend_system_share,share_difference_per_10k,weekend_trip_share_at_station
CHI00390,Broadway & Barry Ave,8392,4669,13061,41.937584698110534,-87.6440972067236,0.0026714475986258216,0.0038234952101898726,11.520476115640509,0.35747645662659827
CHI01209,Lakefront Trail & Wilson Ave,3160,2590,5750,41.96685583498874,-87.6430927413255,0.0010059311739344134,0.0021209793519793895,11.150481780449761,0.4504347826086956
CHI00454,Larrabee St & Webster Ave,7090,4009,11099,41.921822321395155,-87.64413729180397,0.002256978488352845,0.0032830139853611477,10.260354970083029,0.3612037120461303
CHI00558,Burnham Harbor,4238,2873,7111,41.85741306785363,-87.61379218404808,0.001349093770612039,0.002352731149898373,10.03637379286334,0.4040219378427788
CHI00674,Clark St & Newport St,7255,3978,11233,41.94453929476166,-87.65467992307107,0.0023095033755994206,0.0032576277460131323,9.481243704137118,0.3541351375411733
CHI00354,Pine Grove Ave & Waveland Ave,8066,4284,12350,41.94946358574602,-87.64644955124932,0.002567671154732588,0.00350821449570645,9.405433409738619,0.3468825910931174
CHI00430,Broadway & Cornelia Ave,9858,4901,14759,41.94552840242346,-87.6464396518944,0.0031381232634953944,0.004013482549826637,8.753592863312425,0.33206856833118775
CHI00522,Stockton Dr & Wrightwood Ave,5849,3337,9186,41.931319925709126,-87.63873986743042,0.0018619276697286024,0.002732705829171901,8.707781594432987,0.363270193773133
CHI00473,Halsted St & Roscoe St,6722,3675,10397,41.943670519520325,-87.64894586647998,0.002139832073160483,0.003009497729159945,8.696656559994622,0.3534673463499086
CHI00469,Lakeview Ave & Fullerton Pkwy,7397,3919,11316,41.925867685220986,-87.63897325808513,0.002354706611896473,0.0032093120001572308,8.546053882607577,0.34632378932484975
CHI00279,New St & Illinois St,10654,5117,15771,41.89084387205841,-87.61861896108331,0.003391516052878873,0.004190367314316037,7.988512614371642,0.3244562805148691
CHI00287,Clark St & Wrightwood Ave,8404,4239,12643,41.92954677386214,-87.64312052090442,0.0026752675904255724,0.0034713635031044915,7.9609591267891915,0.33528434706952465
CHI00444,Clark St & North Ave,4934,2887,7821,41.91197322977592,-87.63194390581162,0.0015706532949975934,0.002364195903152316,7.935426081547225,0.36913438179260966
KA1503000064,Dusable Harbor,2869,2059,4928,41.88697531896417,-87.61281329795108,0.0009132963727904531,0.0016861376392762794,7.728412664858262,0.41781655844155846
CHI00314,Cannon Dr & Fullerton Ave,1864,1665,3529,41.92675560754005,-87.6344294574071,0.0005933720595613122,0.0013634867262724648,7.7011466671115265,0.4718050439217909
CHI00336,Southport Ave & Waveland Ave,8221,4132,12353,41.94822384647573,-87.66407069962924,0.002617012715479371,0.003383740031806501,7.667273163271303,0.33449364526835584
CHI00234,Southport Ave & Roscoe St,7089,3646,10735,41.94373844570619,-87.66401981437838,0.0022566601557028657,0.0029857493117053492,7.290891560024836,0.33963670237540755
CHI00540,Wells St & Elm St,13074,5971,19045,41.90321734827325,-87.63433616531098,0.004161881065828646,0.004889717262806539,7.278361969778931,0.313520609083749
CHI00617,Marine Dr & Ainslie St,3115,2099,5214,41.9716005658446,-87.65015465549018,0.0009916062046853474,0.0017188940771446868,7.272878724593395,0.40257000383582664
CHI00462,Clark St & Schiller St,7448,3783,11231,41.90799342956983,-87.63150276778599,0.0023709415770454146,0.003097940111404645,7.269985343592304,0.33683554447511355
15544,Shedd Aquarium,3010,2050,5060,41.86722700027204,-87.615362235439,0.0009581812764375266,0.0016787674407558876,7.205861643183609,0.4051383399209486
CHI02026,Fort Dearborn Dr & 31st St*,1750,1549,3299,41.83867340269574,-87.60882311499925,0.0005570821374636782,0.0012684930564540828,7.114109189904046,0.46953622309790843
