end_station_name,end_lat,end_lng,return_count_weekday,return_count_weekend,total_return_count,weekday_station_share,weekend_station_share,total_return_share,weekend_minus_weekday_share_normalized,weekday_minus_weekend_share_normalized,share_difference_orientation
Buckingham Fountain,41.87130745884732,-87.62309887518705,6292.0,3598.0,9890.0,0.0020324546703172465,0.0029870919107757806,0.0022998502423098033,0.0009546372404585341,-0.0009546372404585341,weekend_oriented
Pine Grove Ave & Waveland Ave,41.94947274088333,-87.64645278453827,10937.0,5398.0,16335.0,0.0035328920421582523,0.004481468075143875,0.003798589859264978,0.0009485760329856229,-0.0009485760329856229,weekend_oriented
Wells St & Elm St,41.903222,-87.634324,18124.0,8113.0,26237.0,0.005854451437512679,0.006735485456399085,0.006101230617541183,0.0008810340188864056,-0.0008810340188864056,weekend_oriented
Fort Dearborn Dr & 31st St*,41.83867628233386,-87.60883195345701,2263.0,1934.0,4197.0,0.0007309988745912156,0.0016056241677154972,0.0009759829592491651,0.0008746252931242817,-0.0008746252931242817,weekend_oriented
New St & Illinois St,41.89084704062381,-87.61861681938171,13869.0,6424.0,20293.0,0.004479992660939271,0.005333262488833689,0.0047189950421832995,0.0008532698278944182,-0.0008532698278944182,weekend_oriented
Cannon Dr & Fullerton Ave,41.9267559875,-87.6344287848,2744.0,2091.0,4835.0,0.000886372475421253,0.0017359669776076034,0.0011243453914628815,0.0008495945021863504,-0.0008495945021863504,weekend_oriented
Southport Ave & Roscoe St,41.943739,-87.66402,9814.0,4837.0,14651.0,0.0031701382921954,0.004015720837249152,0.0034069874519798713,0.0008455825450537522,-0.0008455825450537522,weekend_oriented
Wentworth Ave & Cermak Rd*,41.853214418519656,-87.63187229633331,4099.0,2601.0,6700.0,0.0013240673384663688,0.002159373557511897,0.0015580380812412215,0.0008353062190455281,-0.0008353062190455281,weekend_oriented
Marine Dr & Ainslie St,41.9716,-87.650154,4051.0,2582.0,6633.0,0.0013085622805872798,0.0021435995868880117,0.0015424577004288093,0.0008350373063007318,-0.0008350373063007318,weekend_oriented
Bissell St & Armitage Ave*,41.9182955629354,-87.65218332409859,7701.0,3998.0,11699.0,0.0024875927234763373,0.0033191755028575795,0.0027205205242449328,0.0008315827793812423,-0.0008315827793812423,weekend_oriented
Clarendon Ave & Junior Ter,41.961004,-87.649603,7400.0,3877.0,11277.0,0.0023903630896928837,0.003218720216252835,0.002622387379426456,0.0008283571265599514,-0.0008283571265599514,weekend_oriented
Broadway & Waveland Ave,41.949074,-87.648636,12636.0,5882.0,18518.0,0.004081706486670173,0.004883289221562852,0.004306231222152976,0.0008015827348926792,-0.0008015827348926792,weekend_oriented
Griffin Museum of Science and Industry,41.79172820953,-87.583945009,3266.0,2234.0,5500.0,0.0010549899798563457,0.0018546868617768464,0.0012789864846010027,0.0007996968819205007,-0.0007996968819205007,weekend_oriented
Clark St & Grace St,41.95078,-87.659172,6706.0,3565.0,10271.0,0.0021661857945243887,0.0029596950144290322,0.0023884491242430724,0.0007935092199046435,-0.0007935092199046435,weekend_oriented
Clark St & Winnemac Ave,41.97334764047304,-87.6678554713726,8861.0,4396.0,13257.0,0.0028622982888876543,0.003649598676978969,0.0030828225138828168,0.0007873003880913146,-0.0007873003880913146,weekend_oriented
Shore Dr & 55th St,41.795212,-87.580715,7396.0,3810.0,11206.0,0.002389071001536293,0.0031630962145791338,0.002605876826625243,0.000774025213042841,-0.000774025213042841,weekend_oriented
Pine Grove Ave & Irving Park Rd,41.95436725508892,-87.64794502215663,8971.0,4411.0,13382.0,0.0028978307131939,0.0036620518116820366,0.0031118903885328396,0.0007642210984881367,-0.0007642210984881367,weekend_oriented
Kedzie Ave & Milwaukee Ave,41.929083085060974,-87.70802510914633,6896.0,3600.0,10496.0,0.0022275599819624493,0.0029887523287361896,0.0024407712986131134,0.0007611923467737403,-0.0007611923467737403,weekend_oriented
Halsted St & Wrightwood Ave,41.929143,-87.64907700000002,9224.0,4503.0,13727.0,0.0029795552890982645,0.0037384310378608503,0.0031921177225669025,0.0007588757487625858,-0.0007588757487625858,weekend_oriented
Clark St & Schiller St,41.907993,-87.631501,9835.0,4738.0,14573.0,0.0031769217550175013,0.003933530148208907,0.003388849098198257,0.0007566083931914058,-0.0007566083931914058,weekend_oriented
Halsted St & Dickens Ave,41.919936,-87.64883,7648.0,3879.0,11527.0,0.00247047255540151,0.003220380634213244,0.0026805231287265014,0.0007499080788117341,-0.0007499080788117341,weekend_oriented
Southport Ave & Wellington Ave,41.93577461766458,-87.66360014677048,7347.0,3738.0,11085.0,0.002373242921618056,0.00310332116800441,0.002577739123964021,0.0007300782463863539,-0.0007300782463863539,weekend_oriented
Wilton Ave & Belmont Ave,41.940231918108594,-87.65294373035431,14736.0,6607.0,21343.0,0.004760052768880315,0.005485190732211112,0.004963165189243491,0.0007251379633307969,-0.0007251379633307969,weekend_oriented
Clark St & Berwyn Ave,41.97802884484359,-87.66836255860282,7342.0,3725.0,11067.0,0.0023716278114223176,0.0030925284512617517,0.0025735533500144177,0.000720900639839434,-0.000720900639839434,weekend_oriented
Damen Ave & Pierce Ave,41.90913973176558,-87.6775313230267,9083.0,4397.0,13480.0,0.0029340091815784407,0.0036504288859591735,0.0031346796022584575,0.0007164197043807328,-0.0007164197043807328,weekend_oriented
Damen Ave & Cortland St,41.915983,-87.67733500000001,6910.0,3551.0,10461.0,0.002232082290510517,0.002948072088706169,0.002432632293711107,0.0007159897981956521,-0.0007159897981956521,weekend_oriented
