condition_type,condition_value,day_type,rank_in_group,end_station_name,return_count,return_share,total_returns_in_group,end_lat,end_lng
cold,mild,weekday,10,Clinton St & Jackson Blvd,18663,0.006626709227966893,2816330,41.87831662050808,-87.64098109175531
cold,mild,weekday,11,Streeter Dr & Grand Ave,17374,0.006169021385988148,2816330,41.892278002970286,-87.61204300164603
cold,mild,weekday,12,Canal St & Adams St,17029,0.006046521536893759,2816330,41.879255,-87.639904
cold,mild,weekday,13,State St & Chicago Ave,16976,0.00602770271949665,2816330,41.896617200407526,-87.62857854366302
cold,mild,weekday,14,Franklin St & Monroe St,16873,0.005991130300781513,2816330,41.88031616332084,-87.63518440237203
cold,mild,weekday,15,Wells St & Concord Ln,16632,0.005905557942428622,2816330,41.912133,-87.634656
cold,mild,weekday,16,Wells St & Elm St,16423,0.005831347888919267,2816330,41.903222,-87.634324
cold,mild,weekday,17,Millennium Park,16332,0.005799036334520458,2816330,41.8810317,-87.62408432
cold,mild,weekday,18,Daley Center Plaza,16192,0.005749326250829981,2816330,41.88424087537072,-87.62963348535213
cold,mild,weekday,19,Wells St & Huron St,16035,0.005693579942691375,2816330,41.89478399980203,-87.6343724037867
cold,mild,weekday,20,Theater on the Lake,15220,0.005404196241207529,2816330,41.926277,-87.630834
cold,mild,weekend,1,DuSable Lake Shore Dr & Monroe St,16873,0.014978636822430405,1126471,41.880958,-87.616743
cold,mild,weekend,2,Navy Pier,15503,0.013762449277433685,1126471,41.892278,-87.612043
cold,mild,weekend,3,DuSable Lake Shore Dr & North Blvd,14743,0.013087775894807767,1126471,41.911722,-87.626804
cold,mild,weekend,4,Michigan Ave & Oak St,13233,0.011747306410906273,1126471,41.90096039009614,-87.62377663865593
cold,mild,weekend,5,Theater on the Lake,12318,0.010935035167350069,1126471,41.926277,-87.630834
cold,mild,weekend,6,Streeter Dr & Grand Ave,11725,0.010408612383274847,1126471,41.892278002970286,-87.61204300164603
cold,mild,weekend,7,Millennium Park,10029,0.008903025466257009,1126471,41.8810317,-87.62408432
cold,mild,weekend,8,Dusable Harbor,8622,0.007653991980264028,1126471,41.88697599432289,-87.61281299950515
cold,mild,weekend,9,Clark St & Lincoln Ave,8539,0.007580310545056198,1126471,41.915689,-87.6346
cold,mild,weekend,10,Wells St & Concord Ln,8497,0.007543025963384765,1126471,41.912133,-87.634656
cold,mild,weekend,11,Clark St & Armitage Ave,8246,0.007320206201491206,1126471,41.918305755768,-87.63628183370878
cold,mild,weekend,12,Shedd Aquarium,7985,0.007088509158247305,1126471,41.86722596201104,-87.61535540410257
cold,mild,weekend,13,Kingsbury St & Kinzie St,7948,0.007055663217251043,1126471,41.889172621529056,-87.63849963502554
cold,mild,weekend,14,Clark St & Elm St,7801,0.00692516718140103,1126471,41.90301732164141,-87.63152289470456
cold,mild,weekend,15,Montrose Harbor,7647,0.006788457048605779,1126471,41.963982,-87.638181
cold,mild,weekend,16,Wells St & Elm St,7437,0.006602034140248617,1126471,41.903222,-87.634324
cold,mild,weekend,17,DuSable Lake Shore Dr & Diversey Pkwy,6895,0.006120885491060134,1126471,41.932588,-87.636427
cold,mild,weekend,18,Indiana Ave & Roosevelt Rd,6640,0.0058945148166264375,1126471,41.86788801019692,-87.6230410031074
cold,mild,weekend,19,McClurg Ct & Ohio St,6249,0.005547413115828104,1126471,41.892592119709725,-87.61728912591934
cold,mild,weekend,20,State St & Chicago Ave,6179,0.0054852721463757165,1126471,41.896617200407526,-87.62857854366302
rain,dry,weekday,1,Kingsbury St & Kinzie St,23207,0.009932050174250624,2336577,41.889172621529056,-87.63849963502554
rain,dry,weekday,2,Clinton St & Washington Blvd,21485,0.009195074675476134,2336577,41.883378993326986,-87.64117008864396
rain,dry,weekday,3,Canal St & Madison St,19899,0.008516303977998584,2336577,41.882409,-87.639767
rain,dry,weekday,4,Clinton St & Madison St,18806,0.008048525685222442,2336577,41.88275006331282,-87.64119022354309
rain,dry,weekday,5,Navy Pier,16207,0.006936214813378716,2336577,41.892278,-87.612043
rain,dry,weekday,6,Michigan Ave & Oak St,16058,0.006872446317840157,2336577,41.90096039009614,-87.62377663865593
rain,dry,weekday,7,DuSable Lake Shore Dr & Monroe St,15822,0.0067714438685307615,2336577,41.880958,-87.616743
rain,dry,weekday,8,Clinton St & Jackson Blvd,15718,0.006726934314597807,2336577,41.87831662050808,-87.64098109175531
